epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.991,2.15498,2.99813,2.20501,0.18448,0.20483,0.11631,0.0382,2.25498,2.86078,2.33206,0.0670148,0.000333184,0.000333184
2,448.004,2.06462,2.71763,2.11155,0.30195,0.25382,0.19416,0.06997,2.14237,2.55052,2.20949,0.0340147,0.000666445,0.000666445
3,660.132,2.02299,2.58472,2.06107,0.30786,0.30393,0.23029,0.08748,2.03225,2.41771,2.08519,0.00101438,0.000999416,0.000999416
4,871.837,1.95765,2.45039,2.00377,0.37531,0.36679,0.33269,0.13599,1.98963,2.14109,2.00476,0.000999023,0.000999023,0.000999023
5,1084.17,1.91502,2.33696,1.95199,0.4151,0.37951,0.3407,0.13647,1.98833,2.12946,2.00883,0.000998264,0.000998264,0.000998264
6,1296.45,1.89439,2.26675,1.93293,0.4251,0.37743,0.36079,0.14799,1.94814,2.09491,1.95253,0.000997288,0.000997288,0.000997288
7,1509.93,1.8735,2.21893,1.91472,0.41355,0.39296,0.35226,0.1453,1.95628,2.04954,1.97242,0.000996097,0.000996097,0.000996097
8,1725.8,1.85716,2.1663,1.8942,0.39766,0.42952,0.37772,0.16201,1.90062,1.96709,1.90828,0.00099469,0.00099469,0.00099469
9,1940.28,1.84138,2.13454,1.87335,0.45699,0.41893,0.39179,0.16617,1.90311,1.94248,1.9028,0.000993068,0.000993068,0.000993068
10,2156.08,1.83007,2.08562,1.85996,0.41355,0.4411,0.40578,0.17268,1.91836,1.90261,1.92064,0.000991232,0.000991232,0.000991232
11,2371.02,1.8136,2.0516,1.84187,0.46942,0.44623,0.43548,0.18327,1.89126,1.8733,1.88164,0.000989183,0.000989183,0.000989183
12,2587.23,1.81048,2.03081,1.83849,0.48184,0.43192,0.43224,0.18761,1.87625,1.84309,1.88519,0.000986922,0.000986922,0.000986922
13,2804.69,1.7985,1.99418,1.82535,0.49089,0.45392,0.444,0.19441,1.85748,1.82879,1.86944,0.000984449,0.000984449,0.000984449
14,3021.47,1.78298,1.97771,1.81564,0.48613,0.46767,0.44838,0.1982,1.87433,1.79941,1.87715,0.000981765,0.000981765,0.000981765
15,3240.06,1.77887,1.94901,1.80762,0.49377,0.47214,0.46396,0.20401,1.8731,1.76631,1.84899,0.000978873,0.000978873,0.000978873
16,3457.65,1.76437,1.92905,1.79705,0.51962,0.4718,0.47479,0.2145,1.83998,1.74891,1.8378,0.000975773,0.000975773,0.000975773
17,3675.72,1.76496,1.91975,1.79683,0.52628,0.47336,0.47511,0.21614,1.83478,1.73872,1.84259,0.000972466,0.000972466,0.000972466
18,3893.41,1.75845,1.89691,1.79258,0.51364,0.4756,0.4821,0.21935,1.84779,1.72108,1.84775,0.000968955,0.000968955,0.000968955
19,4110.06,1.74491,1.87365,1.78636,0.53505,0.47281,0.49012,0.22352,1.82434,1.70161,1.83519,0.000965239,0.000965239,0.000965239
20,4328.35,1.73624,1.8675,1.7737,0.53001,0.47423,0.493,0.22407,1.82052,1.71097,1.826,0.000961322,0.000961322,0.000961322
21,4544.97,1.73981,1.84325,1.77821,0.53193,0.48149,0.49845,0.22434,1.81466,1.66836,1.80847,0.000957205,0.000957205,0.000957205
22,4762.06,1.72648,1.81442,1.76198,0.5519,0.48879,0.50249,0.22974,1.79744,1.66008,1.79887,0.000952889,0.000952889,0.000952889
23,4980.44,1.72168,1.79375,1.75687,0.55198,0.49674,0.51344,0.23567,1.8073,1.63044,1.8107,0.000948377,0.000948377,0.000948377
24,5198.9,1.71627,1.78615,1.75175,0.53305,0.50884,0.51122,0.23189,1.80178,1.62474,1.80395,0.000943671,0.000943671,0.000943671
25,5417.82,1.71035,1.77893,1.744,0.5669,0.50503,0.52698,0.2484,1.77158,1.59559,1.77976,0.000938772,0.000938772,0.000938772
26,5636.23,1.70618,1.7512,1.744,0.53072,0.50023,0.51667,0.24037,1.7829,1.59996,1.78785,0.000933683,0.000933683,0.000933683
27,5852.92,1.69789,1.73324,1.73683,0.563,0.50074,0.53223,0.24773,1.78842,1.56847,1.79454,0.000928405,0.000928405,0.000928405
28,6068.26,1.69465,1.71876,1.72804,0.58043,0.49335,0.53117,0.25028,1.77169,1.55598,1.7621,0.000922942,0.000922942,0.000922942
29,6291.62,1.68268,1.71437,1.71848,0.55849,0.52347,0.53273,0.25395,1.77483,1.53827,1.76957,0.000917296,0.000917296,0.000917296
30,6509.98,1.68095,1.69895,1.72066,0.5721,0.52271,0.53551,0.25265,1.7709,1.54679,1.77008,0.000911469,0.000911469,0.000911469
31,6725.68,1.67918,1.68199,1.71566,0.57346,0.51962,0.54562,0.25924,1.75625,1.52,1.75813,0.000905463,0.000905463,0.000905463
32,6944.19,1.67034,1.66137,1.70279,0.56434,0.52369,0.54388,0.25851,1.76203,1.51342,1.74877,0.000899282,0.000899282,0.000899282
33,7163.2,1.67142,1.65629,1.70037,0.56796,0.53404,0.55487,0.26578,1.75255,1.50311,1.74608,0.000892928,0.000892928,0.000892928
34,7378.65,1.6556,1.62654,1.70133,0.58498,0.52572,0.55335,0.26381,1.75595,1.49957,1.75879,0.000886404,0.000886404,0.000886404
35,7598.22,1.65522,1.62243,1.69357,0.5738,0.53335,0.55064,0.26331,1.75073,1.48563,1.75105,0.000879713,0.000879713,0.000879713
36,7831.17,1.65602,1.6153,1.69137,0.5768,0.52843,0.55416,0.26215,1.75241,1.47609,1.74582,0.000872857,0.000872857,0.000872857
37,8079.63,1.65217,1.60218,1.68294,0.6024,0.52679,0.56269,0.26607,1.75031,1.45794,1.73947,0.000865839,0.000865839,0.000865839
38,8319.28,1.6388,1.59058,1.68205,0.58963,0.5353,0.56382,0.26837,1.74194,1.45819,1.74052,0.000858664,0.000858664,0.000858664
39,8559.25,1.63682,1.58165,1.66918,0.58674,0.55386,0.56654,0.27103,1.74137,1.44742,1.72756,0.000851333,0.000851333,0.000851333
40,8798.97,1.63292,1.56878,1.66833,0.59475,0.53471,0.56622,0.26915,1.74899,1.44323,1.73898,0.000843851,0.000843851,0.000843851
41,9039.79,1.62949,1.56442,1.67138,0.58585,0.53219,0.56459,0.27018,1.74101,1.442,1.73408,0.00083622,0.00083622,0.00083622
42,9294.81,1.61759,1.52503,1.65503,0.61835,0.53223,0.56924,0.27319,1.74143,1.42969,1.72999,0.000828443,0.000828443,0.000828443
43,9554.67,1.61876,1.52983,1.65987,0.60412,0.54319,0.57008,0.27567,1.72998,1.4262,1.72274,0.000820525,0.000820525,0.000820525
44,9816.6,1.61118,1.5201,1.64913,0.60775,0.53958,0.56649,0.27382,1.73483,1.41638,1.72425,0.000812468,0.000812468,0.000812468
45,10091.7,1.60702,1.50637,1.64362,0.60568,0.54477,0.56672,0.27575,1.73369,1.41644,1.72304,0.000804277,0.000804277,0.000804277
46,10375.7,1.59426,1.4975,1.64196,0.60193,0.55084,0.57144,0.27431,1.73795,1.40881,1.7321,0.000795954,0.000795954,0.000795954
47,10634.6,1.59704,1.47415,1.63471,0.61992,0.54635,0.57259,0.27605,1.73938,1.40408,1.7285,0.000787503,0.000787503,0.000787503
48,10889.2,1.59636,1.48328,1.63494,0.61079,0.55427,0.5741,0.27628,1.73981,1.40004,1.72974,0.000778929,0.000778929,0.000778929
49,11137.9,1.58671,1.46353,1.6318,0.61546,0.54424,0.57239,0.27694,1.73544,1.39061,1.72898,0.000770234,0.000770234,0.000770234
50,11385,1.57297,1.44474,1.62125,0.59737,0.55307,0.57876,0.28,1.73972,1.37847,1.73226,0.000761423,0.000761423,0.000761423
51,11630.9,1.56733,1.42429,1.61876,0.61302,0.55603,0.57726,0.2809,1.73759,1.36995,1.73079,0.0007525,0.0007525,0.0007525
52,11874.4,1.56271,1.43319,1.61675,0.61798,0.54831,0.57873,0.28061,1.73644,1.3717,1.7322,0.000743468,0.000743468,0.000743468
53,12106.9,1.55504,1.41436,1.60085,0.60373,0.55434,0.57649,0.28029,1.73039,1.37113,1.72521,0.000734332,0.000734332,0.000734332
54,12326.4,1.55416,1.40141,1.59903,0.60087,0.55121,0.57736,0.28246,1.72736,1.37564,1.71854,0.000725094,0.000725094,0.000725094
55,12544.9,1.56073,1.3969,1.60552,0.6054,0.54883,0.57925,0.283,1.73267,1.37611,1.72463,0.000715761,0.000715761,0.000715761
56,12764.9,1.55405,1.39727,1.60206,0.60304,0.55554,0.58364,0.28252,1.73367,1.37183,1.72672,0.000706335,0.000706335,0.000706335
57,12984.8,1.54788,1.36238,1.59234,0.60496,0.55914,0.58334,0.28276,1.73191,1.36528,1.72409,0.00069682,0.00069682,0.00069682
58,13217,1.53871,1.36352,1.58962,0.60972,0.56177,0.58478,0.2842,1.7325,1.36059,1.72472,0.000687222,0.000687222,0.000687222
59,13446.1,1.53121,1.35305,1.58082,0.60216,0.56629,0.58508,0.28452,1.72972,1.35448,1.72455,0.000677543,0.000677543,0.000677543
