epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.414,2.17273,3.11703,2.17875,0.17535,0.21037,0.1102,0.03622,2.27502,2.93493,2.24343,0.0670148,0.000333184,0.000333184
2,430.107,2.06669,2.73181,2.07233,0.31492,0.26206,0.21464,0.08089,2.13713,2.55158,2.13261,0.0340147,0.000666445,0.000666445
3,625.317,2.02038,2.59885,2.01702,0.33705,0.30072,0.25607,0.09948,2.06147,2.31739,2.03862,0.00101438,0.000999416,0.000999416
4,832.81,1.96417,2.47799,1.97782,0.34313,0.34575,0.30468,0.12119,2.01971,2.22623,2.01846,0.000999023,0.000999023,0.000999023
5,1064.62,1.94072,2.38564,1.94457,0.37831,0.34674,0.31908,0.1265,2.02168,2.17028,2.01061,0.000998264,0.000998264,0.000998264
6,1491.39,1.9098,2.32251,1.91504,0.39584,0.38004,0.34978,0.14172,1.95922,2.11784,1.95499,0.000997288,0.000997288,0.000997288
7,1757.78,1.89451,2.27231,1.90304,0.38554,0.38109,0.35066,0.14495,1.95916,2.04254,1.95886,0.000996097,0.000996097,0.000996097
8,2024.16,1.88164,2.23432,1.88284,0.42815,0.39166,0.3737,0.15913,1.90689,2.03052,1.89584,0.00099469,0.00099469,0.00099469
9,2290.01,1.86857,2.20542,1.86677,0.39694,0.41176,0.36857,0.15567,1.93305,2.00011,1.89562,0.000993068,0.000993068,0.000993068
10,2516.24,1.85096,2.15265,1.84876,0.44193,0.39281,0.37469,0.15967,1.93975,1.97093,1.9082,0.000991232,0.000991232,0.000991232
11,2744.9,1.83019,2.1221,1.83836,0.43764,0.41672,0.39409,0.16756,1.8924,1.95086,1.85877,0.000989183,0.000989183,0.000989183
12,2983.03,1.83678,2.1026,1.83113,0.46376,0.42397,0.40456,0.17519,1.86707,1.93511,1.84552,0.000986922,0.000986922,0.000986922
13,3214.66,1.82062,2.07491,1.81863,0.43986,0.44793,0.41872,0.17916,1.87945,1.90309,1.84973,0.000984449,0.000984449,0.000984449
14,3448.51,1.81041,2.05622,1.81887,0.47161,0.44508,0.42783,0.18056,1.90769,1.87781,1.89612,0.000981765,0.000981765,0.000981765
15,3733.32,1.80664,2.03704,1.81138,0.49267,0.43272,0.44016,0.19041,1.88446,1.83931,1.84933,0.000978873,0.000978873,0.000978873
16,4030.36,1.79813,2.01287,1.80821,0.49215,0.44974,0.44661,0.19593,1.87968,1.81671,1.83753,0.000975773,0.000975773,0.000975773
17,4329.53,1.80216,2.01038,1.80135,0.51242,0.44491,0.44696,0.19358,1.8655,1.79465,1.83414,0.000972466,0.000972466,0.000972466
18,4628.11,1.79044,1.98099,1.78919,0.49674,0.45175,0.4591,0.19787,1.86689,1.78722,1.82729,0.000968955,0.000968955,0.000968955
19,4898.29,1.78339,1.96648,1.77868,0.50719,0.45066,0.45405,0.20618,1.8298,1.77898,1.80236,0.000965239,0.000965239,0.000965239
20,5163.3,1.76985,1.95019,1.77307,0.49135,0.45159,0.45011,0.19836,1.8664,1.76419,1.83086,0.000961322,0.000961322,0.000961322
21,5431.45,1.77762,1.94335,1.77824,0.52618,0.46837,0.46978,0.2096,1.84357,1.72933,1.80118,0.000957205,0.000957205,0.000957205
22,5703.01,1.75777,1.91055,1.76444,0.52864,0.46551,0.47659,0.21327,1.83673,1.73503,1.80878,0.000952889,0.000952889,0.000952889
23,5972.6,1.75494,1.90196,1.76236,0.53376,0.45939,0.4781,0.21283,1.84017,1.70298,1.80309,0.000948377,0.000948377,0.000948377
24,6249.1,1.75379,1.88661,1.75462,0.52805,0.45664,0.47767,0.2142,1.8378,1.71732,1.80589,0.000943671,0.000943671,0.000943671
25,6524.15,1.75106,1.88232,1.74959,0.55776,0.47356,0.49971,0.22555,1.81923,1.67141,1.7779,0.000938772,0.000938772,0.000938772
26,6810.77,1.75071,1.86093,1.75412,0.52491,0.4813,0.4846,0.22016,1.81969,1.68693,1.78351,0.000933683,0.000933683,0.000933683
27,7098.83,1.74397,1.85174,1.74487,0.52501,0.48447,0.49468,0.22656,1.80109,1.66546,1.76952,0.000928405,0.000928405,0.000928405
28,7374.89,1.74073,1.83345,1.73717,0.53805,0.49995,0.50681,0.22914,1.808,1.63993,1.76563,0.000922942,0.000922942,0.000922942
29,7651.26,1.72799,1.83235,1.73421,0.54856,0.49412,0.5048,0.23216,1.80007,1.62355,1.76403,0.000917296,0.000917296,0.000917296
30,7872.96,1.72904,1.82468,1.73734,0.53646,0.50478,0.50549,0.23087,1.81209,1.6255,1.77302,0.000911469,0.000911469,0.000911469
31,8155.79,1.72853,1.8025,1.72793,0.55494,0.50797,0.52052,0.2394,1.79826,1.61071,1.75923,0.000905463,0.000905463,0.000905463
32,8442.39,1.71801,1.79321,1.72091,0.54903,0.49568,0.51825,0.2366,1.79838,1.61133,1.75611,0.000899282,0.000899282,0.000899282
33,8709.01,1.72086,1.78927,1.71636,0.54301,0.50747,0.513,0.23732,1.79354,1.60743,1.75719,0.000892928,0.000892928,0.000892928
34,8969.57,1.70928,1.75903,1.71253,0.5737,0.49815,0.5194,0.23781,1.79824,1.58793,1.75718,0.000886404,0.000886404,0.000886404
35,9241.32,1.70949,1.75355,1.70545,0.55727,0.50929,0.51765,0.24045,1.79244,1.5793,1.74121,0.000879713,0.000879713,0.000879713
36,9512.83,1.71134,1.75518,1.70207,0.55026,0.4917,0.51563,0.24079,1.78787,1.57847,1.74014,0.000872857,0.000872857,0.000872857
37,9788.44,1.70623,1.73912,1.70377,0.54157,0.5142,0.5189,0.24016,1.78859,1.5585,1.74415,0.000865839,0.000865839,0.000865839
38,10072.2,1.69703,1.73087,1.69847,0.56837,0.50585,0.52684,0.24538,1.79096,1.55467,1.74269,0.000858664,0.000858664,0.000858664
39,10349,1.69443,1.72724,1.69434,0.56282,0.50453,0.52659,0.24517,1.78627,1.54521,1.73707,0.000851333,0.000851333,0.000851333
40,10615.6,1.68795,1.71815,1.6907,0.55235,0.51233,0.52903,0.2468,1.77462,1.54381,1.72604,0.000843851,0.000843851,0.000843851
